seed,tau,mu,num_clusters,cluster_centers
1482,0.1,0.1,5,"[np.float64(-0.77019717383964), np.float64(-0.21692746578509173), np.float64(0.3772489294982023), np.float64(0.8094045155339079), np.float64(0.08974962327176236)]"
1482,0.1,0.2,5,"[np.float64(-0.7701375663979986), np.float64(-0.2162475583242146), np.float64(0.3655641236085409), np.float64(0.801458851742475), np.float64(0.07348005340942322)]"
1482,0.1,0.3,5,"[np.float64(-0.770384559832854), np.float64(-0.2161288651717408), np.float64(0.3652002625338149), np.float64(0.7989297538177749), np.float64(0.09033752998768044)]"
1482,0.1,0.4,5,"[np.float64(-0.7701446572259474), np.float64(-0.22578335575763073), np.float64(0.3553975202245879), np.float64(0.7944884581772742), np.float64(0.06730428501887828)]"
1482,0.1,0.5,5,"[np.float64(-0.769639080120155), np.float64(-0.21650211937217784), np.float64(0.34889140549634023), np.float64(0.7866941861750356), np.float64(0.06521394292481342)]"
1482,0.2,0.1,5,"[np.float64(-0.755323810287178), np.float64(-0.18903324169574975), np.float64(0.4079980751315778), np.float64(0.7978335511673577), np.float64(0.09782047268784677)]"
1482,0.2,0.2,5,"[np.float64(-0.7646545552196505), np.float64(-0.2657910178012962), np.float64(0.6220323308799235), np.float64(0.08351702764028572), np.float64(0.8527704949021305)]"
1482,0.2,0.3,5,"[np.float64(-0.7539202355626137), np.float64(-0.23166307932661442), np.float64(0.6641649875284165), np.float64(0.07148365805631239), np.float64(0.8899788382213569)]"
1482,0.2,0.4,5,"[np.float64(-0.7541838790786899), np.float64(-0.2246246442106245), np.float64(0.6617040623385833), np.float64(0.07890569810289305), np.float64(0.8648136119090504)]"
1482,0.2,0.5,4,"[np.float64(-0.763568441551674), np.float64(-0.2908276570763964), np.float64(0.6998786765581473), np.float64(0.06584723973761641)]"
1482,0.3,0.1,4,"[np.float64(-0.7192594586651692), np.float64(-0.10455959652120585), np.float64(0.5240275052286014), np.float64(0.7937437219964909)]"
1482,0.3,0.2,4,"[np.float64(-0.7019973921903261), np.float64(-0.037907581865317334), np.float64(0.6860847631539458), np.float64(-0.3564925075415688)]"
1482,0.3,0.3,3,"[np.float64(-0.7152795526375169), np.float64(-0.03305842683628173), np.float64(0.688796788337494)]"
1482,0.3,0.4,3,"[np.float64(-0.7326724874454104), np.float64(-0.051883305499909924), np.float64(0.7007737398948188)]"
1482,0.3,0.5,3,"[np.float64(-0.7403456675721385), np.float64(-0.07826344334541967), np.float64(0.705741239119377)]"
1482,0.4,0.1,5,"[np.float64(-0.6347669027436208), np.float64(-0.1865416769007943), np.float64(0.5910402445408671), np.float64(0.8220265736791341), np.float64(0.07634797328990836)]"
1482,0.4,0.2,3,"[np.float64(-0.47588508052186584), np.float64(0.6307483325845161), np.float64(-0.04060354869460809)]"
1482,0.4,0.3,3,"[np.float64(-0.38721754085831117), np.float64(0.6125114085981128), np.float64(0.03657668203729998)]"
1482,0.4,0.4,3,"[np.float64(-0.3877936368891743), np.float64(0.5904476521633261), np.float64(0.1083511291399316)]"
1482,0.4,0.5,2,"[np.float64(-0.41403371024320756), np.float64(0.5334642375796792)]"
1482,0.5,0.1,4,"[np.float64(-0.42709608303753555), np.float64(0.4999621035075278), np.float64(0.7467942740856512), np.float64(-0.12146391187767487)]"
1482,0.5,0.2,2,"[np.float64(-0.39325054999628783), np.float64(0.5355621377044828)]"
1482,0.5,0.3,2,"[np.float64(-0.39676168767672026), np.float64(0.5325384875972888)]"
1482,0.5,0.4,2,"[np.float64(-0.3591850869044837), np.float64(0.6440190949367842)]"
1482,0.5,0.5,2,"[np.float64(-0.3740330140510592), np.float64(0.6249261015884037)]"
